  2023-03-04 04:42:58,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =130,rankZ= 75,pro_acc= 0.57976654,pro_RI= 0.99159533,pro_Precisions= 0.58166667,pro_Recalls= NaN,pro_F1= 0.54002381 
  2023-03-04 04:42:58,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =130,rankZ= 75,Z_acc= 0.58754864,Z_RI= 0.99175097,Z_Precisions= 0.59166667,Z_Recalls= NaN,Z_F1= 0.54801343 
  2023-03-04 05:13:51,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =120,rankZ= 31,pro_acc= 0.54085603,pro_RI= 0.99081712,pro_Precisions= 0.54833333,pro_Recalls= NaN,pro_F1= 0.50187446 
  2023-03-04 05:13:51,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =120,rankZ= 31,Z_acc= 0.58365759,Z_RI= 0.99167315,Z_Precisions= 0.59500000,Z_Recalls= NaN,Z_F1= 0.54642857 
  2023-03-04 05:44:41,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =110,rankZ= 92,pro_acc= 0.55905512,pro_RI= 0.99109202,pro_Precisions= 0.56228956,pro_Recalls= NaN,pro_F1= 0.51528926 
  2023-03-04 05:44:41,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =110,rankZ= 92,Z_acc= 0.59143969,Z_RI= 0.99182879,Z_Precisions= 0.59166667,Z_Recalls= NaN,Z_F1= 0.55282295 
  2023-03-04 06:15:31,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =100,rankZ= 93,pro_acc= 0.57587549,pro_RI= 0.99151751,pro_Precisions= 0.58833333,pro_Recalls= NaN,pro_F1= 0.53146032 
  2023-03-04 06:15:31,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =100,rankZ= 93,Z_acc= 0.57587549,Z_RI= 0.99151751,Z_Precisions= 0.58166667,Z_Recalls= NaN,Z_F1= 0.53889683 
  2023-03-04 06:46:23,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =90,rankZ= 93,pro_acc= 0.58754864,pro_RI= 0.99175097,pro_Precisions= 0.59166667,pro_Recalls= NaN,pro_F1= 0.55604906 
  2023-03-04 06:46:23,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =90,rankZ= 93,Z_acc= 0.56420233,Z_RI= 0.99128405,Z_Precisions= 0.57166667,Z_Recalls= NaN,Z_F1= 0.51625397 
  2023-03-04 07:17:17,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =80,rankZ= 91,pro_acc= 0.54330709,pro_RI= 0.99077388,pro_Precisions= 0.54545455,pro_Recalls= NaN,pro_F1= 0.50466570 
  2023-03-04 07:17:17,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =80,rankZ= 91,Z_acc= 0.57976654,Z_RI= 0.99159533,Z_Precisions= 0.58666667,Z_Recalls= NaN,Z_F1= 0.53361661 
  2023-03-04 07:48:12,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =300,rankZ= 93,pro_acc= 0.57198444,pro_RI= 0.99143969,pro_Precisions= 0.57833333,pro_Recalls= NaN,pro_F1= 0.53716017 
  2023-03-04 07:48:12,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =300,rankZ= 93,Z_acc= 0.59922179,Z_RI= 0.99198444,Z_Precisions= 0.60166667,Z_Recalls= NaN,Z_F1= 0.55817605 
  2023-03-04 08:19:04,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =290,rankZ= 3,pro_acc= 0.55252918,pro_RI= 0.99105058,pro_Precisions= 0.56166667,pro_Recalls= NaN,pro_F1= 0.51169986 
  2023-03-04 08:19:04,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =290,rankZ= 3,Z_acc= 0.58365759,Z_RI= 0.99167315,Z_Precisions= 0.58666667,Z_Recalls= NaN,Z_F1= 0.54643407 
  2023-03-04 08:50:06,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =280,rankZ= 93,pro_acc= 0.57587549,pro_RI= 0.99151751,pro_Precisions= 0.57666667,pro_Recalls= NaN,pro_F1= 0.52959740 
