 i = 20,   Jzb = 103.18693067 ,  Jz = 103.21120789,  err = 0.47985965 
 i = 30,   Jzb = 102.97447787 ,  Jz = 102.99367573,  err = 0.47938777 
 i = 40,   Jzb = 102.79730224 ,  Jz = 102.81395795,  err = 0.47899864 
 i = 50,   Jzb = 102.64077273 ,  Jz = 102.65568063,  err = 0.47865786 
 i = 60,   Jzb = 102.49928936 ,  Jz = 102.51286841,  err = 0.47835223 
 i = 70,   Jzb = 102.36925693 ,  Jz = 102.38183350,  err = 0.47807327 
 i = 80,   Jzb = 102.24899720 ,  Jz = 102.26042323,  err = 0.47781692 
 i = 90,   Jzb = 102.13887979 ,  Jz = 102.15029056,  err = 0.47758388 
 i = 100,   Jzb = 102.03208890 ,  Jz = 102.04217642,  err = 0.47735789 
 Iter = 12,  obj = 241.33998403  ,rankZ= 30 
 i = 10,   Jzb = 100.28243978 ,  Jz = 100.29633388,  err = 0.47576807 
 i = 20,   Jzb = 100.24833215 ,  Jz = 100.24912598,  err = 0.47571651 
 i = 30,   Jzb = 100.23877605 ,  Jz = 100.24014761,  err = 0.47572142 
 i = 40,   Jzb = 100.21959351 ,  Jz = 100.22191187,  err = 0.47570206 
 i = 50,   Jzb = 100.19098261 ,  Jz = 100.19423225,  err = 0.47565914 
 i = 60,   Jzb = 100.15727664 ,  Jz = 100.16070949,  err = 0.47560312 
 i = 70,   Jzb = 100.12291867 ,  Jz = 100.12633229,  err = 0.47554471 
 i = 80,   Jzb = 100.08954356 ,  Jz = 100.09280225,  err = 0.47548777 
 i = 90,   Jzb = 100.05825093 ,  Jz = 100.06126308,  err = 0.47543483 
 i = 100,   Jzb = 100.02978404 ,  Jz = 100.03248785,  err = 0.47538754 
 Iter = 13,  obj = 142.51987938  ,rankZ= 29 
 i = 10,   Jzb = 104.87076934 ,  Jz = 104.97126588,  err = 0.48031821 
 i = 20,   Jzb = 104.22747625 ,  Jz = 104.27306792,  err = 0.47883486 
 i = 30,   Jzb = 103.88582761 ,  Jz = 103.91278000,  err = 0.47805115 
 i = 40,   Jzb = 103.67292082 ,  Jz = 103.69038086,  err = 0.47756612 
 i = 50,   Jzb = 103.53156383 ,  Jz = 103.54337626,  err = 0.47724642 
 i = 60,   Jzb = 103.43461687 ,  Jz = 103.44280516,  err = 0.47702860 
 i = 70,   Jzb = 103.36683869 ,  Jz = 103.37260310,  err = 0.47687708 
 i = 80,   Jzb = 103.31882788 ,  Jz = 103.32293276,  err = 0.47677004 
 i = 90,   Jzb = 103.28445927 ,  Jz = 103.28741140,  err = 0.47669344 
 i = 100,   Jzb = 103.25962303 ,  Jz = 103.26176549,  err = 0.47663797 
 Iter = 14,  obj = 153.13703830  ,rankZ= 30 
 i = 10,   Jzb = 102.68107689 ,  Jz = 102.68520383,  err = 0.47613525 
 Iter = 15,  obj = 114.86981948  ,rankZ= 30 
 Iter = 16,  obj = 112.97486315  ,rankZ= 30 
 Iter = 17,  obj = 114.05723420  ,rankZ= 30 
 Iter = 18,  obj = 114.39827772  ,rankZ= 30 
 Iter = 19,  obj = 112.97486315  ,rankZ= 30 
